time(s),M_x,M_y
0.08416000000000001,-490.2161792953834,964.2445879428836
0.08432,-640.8138394769502,898.7372831883087
0.08448000000000001,-801.2630585844322,800.4263003395405
0.08464,-929.7107487988535,683.4557842223657
0.0848,-1009.9321103429672,521.3752909463867
0.08496000000000001,-1063.2588513075766,342.94760160880475
0.08512,-1078.757134107868,189.13252859657666
0.08528000000000001,-1029.2365054443394,31.449649296482562
0.08544,-987.589616197329,-103.3460346356134
0.08560000000000001,-868.5122881884183,-206.26760809153785
0.08576,-771.8779879564651,-288.15286037141357
0.08592000000000001,-656.4009557954497,-320.47938128658745
0.08608,-551.6571306637867,-347.7303913146015
0.08624000000000001,-438.43256133602637,-313.2896344856868
0.0864,-338.9131187484712,-243.5549314754397
0.08656000000000001,-271.6394790329167,-196.54286711014373
0.08672,-251.36349234582477,-101.91963981948534
0.08688000000000001,-233.0044682034336,-12.020428727083274
0.08704,-274.2772176748117,77.59488630815295
0.08720000000000001,-318.24716165058896,157.8416860453136
0.08736000000000001,-412.8446505120164,234.83311581969858
0.08752,-484.118245926741,275.1710571869338
0.08768000000000001,-595.5399424597321,293.61000784074025
0.08784,-723.9611209092968,261.10394568751644
0.08800000000000001,-813.0951664395991,241.04700404183987
0.08816,-918.8743969931875,167.95331319306203
0.08832000000000001,-973.0896641992683,63.30100550913111
0.08848,-1061.591193972415,-34.69390142238293
0.08864000000000001,-1094.8786071474776,-154.4802963173106
0.0888,-1107.595410958253,-265.3615222287167
0.08896000000000001,-1104.6879419482389,-374.07796337067066
0.08912,-1080.43994882129,-470.26785036379624
0.08928000000000001,-1032.9638648845428,-575.4949374768871
0.08944,-974.647480581406,-654.8845174183112
0.08960000000000001,-942.2573004971515,-727.8002682886872
0.08976,-900.3429099082365,-786.7180256684361
0.08992000000000001,-831.7070349392745,-822.0188772820012
0.09008000000000001,-780.2621015916358,-847.1068311731378
0.09024,-735.7088623967514,-890.2948873411715
0.09040000000000001,-707.6633728373969,-898.5168916330982
0.09056,-671.9682201335386,-928.0161884819895
0.09072000000000001,-669.6148051579199,-944.3357992069266
0.09088,-628.344002672705,-993.3650959043232
0.09104000000000001,-621.4333845422904,-1060.8978485447617
0.0912,-590.8491160069103,-1092.2157669409846
0.09136000000000001,-546.5877245790356,-1127.0803844772202
